filename,sentence
cv_0000.wav,ชีสนั้นอร่อยโดยเฉพาะอย่างยิ่งเมื่อมาพร้อมกับขนมปังแสนอร่อยกรอบ
cv_0001.wav,ใกล้กระดูกทำให้เนื้อหวานขึ้น
cv_0002.wav,ฉันมาแล้ว คุณเห็นไหม
cv_0003.wav,ฉันรู้สึกปิติยินดี
cv_0004.wav,คุณถามฉันหรือเปล่าว่ามันคืออะไร?
cv_0005.wav,วันนี้หัวหน้าไม่มาเนื่องจากเขาเป็นไข้หวัด
cv_0006.wav,เตรียมพร้อมสำหรับการระเบิดเขาประกาศและเริ่มนับถอยหลัง
cv_0007.wav,การทดสอบกลายเป็นหายนะ
cv_0008.wav,การวิ่งนั้นไร้ประโยชน์เพราะพวกเขาเล็กเกินไป
cv_0009.wav,เราต้องหาว่าการทดลองนี้นานแค่ไหน
cv_0010.wav,อย่าโง่เลย!
cv_0011.wav,เธอกินด้วยความรู้สึกหิวโหย
cv_0012.wav,งั้นฟังนะ ขอล่ะ
cv_0013.wav,ม้าหมุนไม่น่าตื่นเต้นเท่าไหร่
cv_0014.wav,ริชาร์ดกล่าวว่านี่เป็นสถานที่ที่น่ารัก
cv_0015.wav,เวลาตอนเย็นที่นั่นช่างดีเสียจริง
cv_0016.wav,ฉันเกือบจะแน่ใจแล้ว
cv_0017.wav,อยากให้อนาคตเราสดใส
cv_0018.wav,เธอน่าจะมากับรถเมย์ เขาพูดวนซ้ำแล้วซ้ำเล่า
cv_0019.wav,ธุรกิจนี้ของแองเจล่าและฉัน
cv_0020.wav,พวกเขาอาศัยอยู่ในบ้านบนระเบียงด้านหนึ่งของรางรถไฟ
cv_0021.wav,นั่นคือจิตวิญญาณ!.
cv_0022.wav,โทมัสบอกเธอว่าพี่ชายเธอยกเลิกการแสดงของเขา
cv_0023.wav,กรุณาแบ่งปันความคิดเห็นของคุณ
cv_0024.wav,คุณเข้าใจไหมว่าฉันค่อนข้างเด็ก อายุเพียงสิบแปดปีเท่านั้น และฉันปรารถนาที่จะมีชีวิตอยู่ต่อไป
cv_0025.wav,แต่เขาพูดถูก
cv_0026.wav,กฎลูกโซ่ถูกนำไปใช้สองครั้งกับสูตรนี้
cv_0027.wav,มีข้อมูลจำนวนเท่าไรในหนึ่งเอกซะไบท์
cv_0028.wav,ก็ไม่เป็นไร
cv_0029.wav,เลขนี้คือ?
cv_0030.wav,'ข้าขอให้การรับรองว่า อยู่กับข้าที่นี่ มั่นคงแน่นหนาพอ' เขากล่าว
cv_0031.wav,ฟังเพลงเพราะไม่มีโฆษณาคั่น
