utterance_id,speaker_id,clean_path,distorted_path,severity,transcript,duration_sec
001_วันนี้ฉะฉันรู้สึกดีมาก,spk001,data/raw/001_วันนี้ฉะฉันรู้สึกดีมาก.wav,data/distorted/001_วันนี้ฉะฉันรู้สึกดีมาก_severe.wav,severe,วันนี้ฉะฉันรู้สึกดีมาก,5.1634
002_ขอน้ำหนึ่งแก้วได้ไหม,spk001,data/raw/002_ขอน้ำหนึ่งแก้วได้ไหม.wav,data/distorted/002_ขอน้ำหนึ่งแก้วได้ไหม_severe.wav,severe,ขอน้ำหนึ่งแก้วได้ไหม,5.7266
003_ฉันอยู่ที่บ้านนะ,spk001,data/raw/003_ฉันอยู่ที่บ้านนะ.wav,data/distorted/003_ฉันอยู่ที่บ้านนะ_severe.wav,severe,ฉันอยู่ที่บ้านนะ,5.5211
004_หิวข้าวแล้ว,spk001,data/raw/004_หิวข้าวแล้ว.wav,data/distorted/004_หิวข้าวแล้ว_severe.wav,severe,หิวข้าวแล้ว,5.9488
005_ขอบคุณมากนะครับ,spk001,data/raw/005_ขอบคุณมากนะครับ.wav,data/distorted/005_ขอบคุณมากนะครับ_severe.wav,severe,ขอบคุณมากนะครับ,4.7894
006_ช่วยฉันด้วยได้ไหม,spk001,data/raw/006_ช่วยฉันด้วยได้ไหม.wav,data/distorted/006_ช่วยฉันด้วยได้ไหม_severe.wav,severe,ช่วยฉันด้วยได้ไหม,5.7329
007_วันนี้อากาศร้อนมาก,spk001,data/raw/007_วันนี้อากาศร้อนมาก.wav,data/distorted/007_วันนี้อากาศร้อนมาก_severe.wav,severe,วันนี้อากาศร้อนมาก,4.8814
008_ฉันชื่อกันต์กวี,spk001,data/raw/008_ฉันชื่อกันต์กวี.wav,data/distorted/008_ฉันชื่อกันต์กวี_severe.wav,severe,ฉันชื่อกันต์กวี,5.119
009_โทรหาหมอให้ทีได้ไหม,spk001,data/raw/009_โทรหาหมอให้ทีได้ไหม.wav,data/distorted/009_โทรหาหมอให้ทีได้ไหม_severe.wav,severe,โทรหาหมอให้ทีได้ไหม,5.4365
010_ฉันต้องการความช่วยเหลือ,spk001,data/raw/010_ฉันต้องการความช่วยเหลือ.wav,data/distorted/010_ฉันต้องการความช่วยเหลือ_severe.wav,severe,ฉันต้องการความช่วยเหลือ,4.823
cv_0000,common_voice,data/common_voice/cv_0000.wav,data/distorted_cv/cv_0000_severe.wav,severe,ชีสนั้นอร่อยโดยเฉพาะอย่างยิ่งเมื่อมาพร้อมกับขนมปังแสนอร่อยกรอบ,5.247
cv_0001,common_voice,data/common_voice/cv_0001.wav,data/distorted_cv/cv_0001_severe.wav,severe,ใกล้กระดูกทำให้เนื้อหวานขึ้น,3.9406
cv_0002,common_voice,data/common_voice/cv_0002.wav,data/distorted_cv/cv_0002_severe.wav,severe,ฉันมาแล้ว คุณเห็นไหม,2.4489
cv_0003,common_voice,data/common_voice/cv_0003.wav,data/distorted_cv/cv_0003_severe.wav,severe,ฉันรู้สึกปิติยินดี,3.0836
cv_0004,common_voice,data/common_voice/cv_0004.wav,data/distorted_cv/cv_0004_severe.wav,severe,คุณถามฉันหรือเปล่าว่ามันคืออะไร?,2.6856
cv_0005,common_voice,data/common_voice/cv_0005.wav,data/distorted_cv/cv_0005_severe.wav,severe,วันนี้หัวหน้าไม่มาเนื่องจากเขาเป็นไข้หวัด,3.5109
cv_0006,common_voice,data/common_voice/cv_0006.wav,data/distorted_cv/cv_0006_severe.wav,severe,เตรียมพร้อมสำหรับการระเบิดเขาประกาศและเริ่มนับถอยหลัง,4.8054
cv_0007,common_voice,data/common_voice/cv_0007.wav,data/distorted_cv/cv_0007_severe.wav,severe,การทดสอบกลายเป็นหายนะ,3.2643
cv_0008,common_voice,data/common_voice/cv_0008.wav,data/distorted_cv/cv_0008_severe.wav,severe,การวิ่งนั้นไร้ประโยชน์เพราะพวกเขาเล็กเกินไป,3.4403
cv_0009,common_voice,data/common_voice/cv_0009.wav,data/distorted_cv/cv_0009_severe.wav,severe,เราต้องหาว่าการทดลองนี้นานแค่ไหน,4.3986
cv_0010,common_voice,data/common_voice/cv_0010.wav,data/distorted_cv/cv_0010_severe.wav,severe,อย่าโง่เลย!,2.525
cv_0011,common_voice,data/common_voice/cv_0011.wav,data/distorted_cv/cv_0011_severe.wav,severe,เธอกินด้วยความรู้สึกหิวโหย,3.5101
cv_0012,common_voice,data/common_voice/cv_0012.wav,data/distorted_cv/cv_0012_severe.wav,severe,งั้นฟังนะ ขอล่ะ,3.8964
cv_0013,common_voice,data/common_voice/cv_0013.wav,data/distorted_cv/cv_0013_severe.wav,severe,ม้าหมุนไม่น่าตื่นเต้นเท่าไหร่,3.7487
cv_0014,common_voice,data/common_voice/cv_0014.wav,data/distorted_cv/cv_0014_severe.wav,severe,ริชาร์ดกล่าวว่านี่เป็นสถานที่ที่น่ารัก,5.5705
cv_0015,common_voice,data/common_voice/cv_0015.wav,data/distorted_cv/cv_0015_severe.wav,severe,เวลาตอนเย็นที่นั่นช่างดีเสียจริง,4.7831
cv_0016,common_voice,data/common_voice/cv_0016.wav,data/distorted_cv/cv_0016_severe.wav,severe,ฉันเกือบจะแน่ใจแล้ว,3.6808
cv_0017,common_voice,data/common_voice/cv_0017.wav,data/distorted_cv/cv_0017_severe.wav,severe,อยากให้อนาคตเราสดใส,4.2107
cv_0018,common_voice,data/common_voice/cv_0018.wav,data/distorted_cv/cv_0018_severe.wav,severe,เธอน่าจะมากับรถเมย์ เขาพูดวนซ้ำแล้วซ้ำเล่า,5.3162
cv_0019,common_voice,data/common_voice/cv_0019.wav,data/distorted_cv/cv_0019_severe.wav,severe,ธุรกิจนี้ของแองเจล่าและฉัน,4.1996
cv_0020,common_voice,data/common_voice/cv_0020.wav,data/distorted_cv/cv_0020_severe.wav,severe,พวกเขาอาศัยอยู่ในบ้านบนระเบียงด้านหนึ่งของรางรถไฟ,5.8117
cv_0021,common_voice,data/common_voice/cv_0021.wav,data/distorted_cv/cv_0021_severe.wav,severe,นั่นคือจิตวิญญาณ!.,2.873
cv_0022,common_voice,data/common_voice/cv_0022.wav,data/distorted_cv/cv_0022_severe.wav,severe,โทมัสบอกเธอว่าพี่ชายเธอยกเลิกการแสดงของเขา,5.8412
cv_0023,common_voice,data/common_voice/cv_0023.wav,data/distorted_cv/cv_0023_severe.wav,severe,กรุณาแบ่งปันความคิดเห็นของคุณ,4.3459
cv_0024,common_voice,data/common_voice/cv_0024.wav,data/distorted_cv/cv_0024_severe.wav,severe,คุณเข้าใจไหมว่าฉันค่อนข้างเด็ก อายุเพียงสิบแปดปีเท่านั้น และฉันปรารถนาที่จะมีชีวิตอยู่ต่อไป,9.963
cv_0025,common_voice,data/common_voice/cv_0025.wav,data/distorted_cv/cv_0025_severe.wav,severe,แต่เขาพูดถูก,2.7409
cv_0026,common_voice,data/common_voice/cv_0026.wav,data/distorted_cv/cv_0026_severe.wav,severe,กฎลูกโซ่ถูกนำไปใช้สองครั้งกับสูตรนี้,3.7348
cv_0027,common_voice,data/common_voice/cv_0027.wav,data/distorted_cv/cv_0027_severe.wav,severe,มีข้อมูลจำนวนเท่าไรในหนึ่งเอกซะไบท์,4.4167
cv_0028,common_voice,data/common_voice/cv_0028.wav,data/distorted_cv/cv_0028_severe.wav,severe,ก็ไม่เป็นไร,3.6603
