utterance_id,speaker_id,clean_path,distorted_path,severity,transcript,duration_sec
001_วันนี้ฉะฉันรู้สึกดีมาก,spk001,data/raw/001_วันนี้ฉะฉันรู้สึกดีมาก.wav,data/distorted/001_วันนี้ฉะฉันรู้สึกดีมาก_mild.wav,mild,วันนี้ฉะฉันรู้สึกดีมาก,5.1561
001_วันนี้ฉะฉันรู้สึกดีมาก,spk001,data/raw/001_วันนี้ฉะฉันรู้สึกดีมาก.wav,data/distorted/001_วันนี้ฉะฉันรู้สึกดีมาก_moderate.wav,moderate,วันนี้ฉะฉันรู้สึกดีมาก,5.094
001_วันนี้ฉะฉันรู้สึกดีมาก,spk001,data/raw/001_วันนี้ฉะฉันรู้สึกดีมาก.wav,data/distorted/001_วันนี้ฉะฉันรู้สึกดีมาก_severe.wav,severe,วันนี้ฉะฉันรู้สึกดีมาก,5.1634
002_ขอน้ำหนึ่งแก้วได้ไหม,spk001,data/raw/002_ขอน้ำหนึ่งแก้วได้ไหม.wav,data/distorted/002_ขอน้ำหนึ่งแก้วได้ไหม_mild.wav,mild,ขอน้ำหนึ่งแก้วได้ไหม,4.9336
002_ขอน้ำหนึ่งแก้วได้ไหม,spk001,data/raw/002_ขอน้ำหนึ่งแก้วได้ไหม.wav,data/distorted/002_ขอน้ำหนึ่งแก้วได้ไหม_moderate.wav,moderate,ขอน้ำหนึ่งแก้วได้ไหม,5.2531
002_ขอน้ำหนึ่งแก้วได้ไหม,spk001,data/raw/002_ขอน้ำหนึ่งแก้วได้ไหม.wav,data/distorted/002_ขอน้ำหนึ่งแก้วได้ไหม_severe.wav,severe,ขอน้ำหนึ่งแก้วได้ไหม,5.7266
003_ฉันอยู่ที่บ้านนะ,spk001,data/raw/003_ฉันอยู่ที่บ้านนะ.wav,data/distorted/003_ฉันอยู่ที่บ้านนะ_mild.wav,mild,ฉันอยู่ที่บ้านนะ,4.9932
003_ฉันอยู่ที่บ้านนะ,spk001,data/raw/003_ฉันอยู่ที่บ้านนะ.wav,data/distorted/003_ฉันอยู่ที่บ้านนะ_moderate.wav,moderate,ฉันอยู่ที่บ้านนะ,5.2511
003_ฉันอยู่ที่บ้านนะ,spk001,data/raw/003_ฉันอยู่ที่บ้านนะ.wav,data/distorted/003_ฉันอยู่ที่บ้านนะ_severe.wav,severe,ฉันอยู่ที่บ้านนะ,5.5211
004_หิวข้าวแล้ว,spk001,data/raw/004_หิวข้าวแล้ว.wav,data/distorted/004_หิวข้าวแล้ว_mild.wav,mild,หิวข้าวแล้ว,5.2203
004_หิวข้าวแล้ว,spk001,data/raw/004_หิวข้าวแล้ว.wav,data/distorted/004_หิวข้าวแล้ว_moderate.wav,moderate,หิวข้าวแล้ว,4.9562
004_หิวข้าวแล้ว,spk001,data/raw/004_หิวข้าวแล้ว.wav,data/distorted/004_หิวข้าวแล้ว_severe.wav,severe,หิวข้าวแล้ว,5.9488
005_ขอบคุณมากนะครับ,spk001,data/raw/005_ขอบคุณมากนะครับ.wav,data/distorted/005_ขอบคุณมากนะครับ_mild.wav,mild,ขอบคุณมากนะครับ,4.9966
005_ขอบคุณมากนะครับ,spk001,data/raw/005_ขอบคุณมากนะครับ.wav,data/distorted/005_ขอบคุณมากนะครับ_moderate.wav,moderate,ขอบคุณมากนะครับ,5.4766
005_ขอบคุณมากนะครับ,spk001,data/raw/005_ขอบคุณมากนะครับ.wav,data/distorted/005_ขอบคุณมากนะครับ_severe.wav,severe,ขอบคุณมากนะครับ,4.7894
006_ช่วยฉันด้วยได้ไหม,spk001,data/raw/006_ช่วยฉันด้วยได้ไหม.wav,data/distorted/006_ช่วยฉันด้วยได้ไหม_mild.wav,mild,ช่วยฉันด้วยได้ไหม,4.9962
006_ช่วยฉันด้วยได้ไหม,spk001,data/raw/006_ช่วยฉันด้วยได้ไหม.wav,data/distorted/006_ช่วยฉันด้วยได้ไหม_moderate.wav,moderate,ช่วยฉันด้วยได้ไหม,4.6979
006_ช่วยฉันด้วยได้ไหม,spk001,data/raw/006_ช่วยฉันด้วยได้ไหม.wav,data/distorted/006_ช่วยฉันด้วยได้ไหม_severe.wav,severe,ช่วยฉันด้วยได้ไหม,5.7329
007_วันนี้อากาศร้อนมาก,spk001,data/raw/007_วันนี้อากาศร้อนมาก.wav,data/distorted/007_วันนี้อากาศร้อนมาก_mild.wav,mild,วันนี้อากาศร้อนมาก,4.9516
007_วันนี้อากาศร้อนมาก,spk001,data/raw/007_วันนี้อากาศร้อนมาก.wav,data/distorted/007_วันนี้อากาศร้อนมาก_moderate.wav,moderate,วันนี้อากาศร้อนมาก,5.3184
007_วันนี้อากาศร้อนมาก,spk001,data/raw/007_วันนี้อากาศร้อนมาก.wav,data/distorted/007_วันนี้อากาศร้อนมาก_severe.wav,severe,วันนี้อากาศร้อนมาก,4.8814
